"partido_id";"stage";"round";"date";"time";"group";"team1";"team2";"goals1";"goals2";"penalties1";"penalties2"
1;"group";1;"2022-11-20";"13:00:00";"a";"catar";"ecuador";0;2;0;0
2;"group";1;"2022-11-21";"10:00:00";"b";"inglaterra";"iran";6;2;0;0
3;"group";1;"2022-11-21";"13:00:00";"a";"senegal";"paises bajos";0;2;0;0
4;"group";1;"2022-11-21";"16:00:00";"b";"estados unidos";"gales";1;1;0;0
5;"group";1;"2022-11-22";"07:00:00";"c";"argentina";"arabia saudi";1;2;0;0
6;"group";1;"2022-11-22";"10:00:00";"d";"dinamarca";"tunez";0;0;0;0
7;"group";1;"2022-11-22";"13:00:00";"c";"mexico";"polonia";0;0;0;0
8;"group";1;"2022-11-22";"16:00:00";"d";"francia";"australia";4;1;0;0
9;"group";1;"2022-11-23";"07:00:00";"e";"marruecos";"croacia";0;0;0;0
10;"group";1;"2022-11-23";"10:00:00";"f";"alemania";"japon";1;2;0;0
11;"group";1;"2022-11-23";"13:00:00";"e";"españa";"costa rica";7;0;0;0
12;"group";1;"2022-11-23";"16:00:00";"f";"belgica";"canada";1;0;0;0
13;"group";1;"2022-11-24";"07:00:00";"g";"suiza";"camerun";1;0;0;0
14;"group";1;"2022-11-24";"10:00:00";"h";"uruguay";"republica de corea";0;0;0;0
15;"group";1;"2022-11-24";"13:00:00";"g";"portugal";"ghana";3;2;0;0
16;"group";1;"2022-11-24";"16:00:00";"h";"brasil";"serbia";2;0;0;0
17;"group";2;"2022-11-25";"07:00:00";"b";"gales";"iran";0;2;0;0
18;"group";2;"2022-11-25";"10:00:00";"a";"catar";"senegal";1;3;0;0
19;"group";2;"2022-11-25";"13:00:00";"a";"paises bajos";"ecuador";1;1;0;0
20;"group";2;"2022-11-25";"16:00:00";"b";"inglaterra";"estados unidos";0;0;0;0
21;"group";2;"2022-11-26";"07:00:00";"d";"tunez";"australia";0;1;0;0
22;"group";2;"2022-11-26";"10:00:00";"c";"polonia";"arabia saudi";2;0;0;0
23;"group";2;"2022-11-26";"13:00:00";"d";"francia";"dinamarca";2;1;0;0
24;"group";2;"2022-11-26";"16:00:00";"c";"argentina";"mexico";2;0;0;0
25;"group";2;"2022-11-27";"07:00:00";"e";"japon";"costa rica";0;1;0;0
26;"group";2;"2022-11-27";"10:00:00";"f";"belgica";"marruecos";0;2;0;0
27;"group";2;"2022-11-27";"13:00:00";"f";"croacia";"canada";4;1;0;0
28;"group";2;"2022-11-27";"16:00:00";"e";"españa";"alemania";1;1;0;0
29;"group";2;"2022-11-28";"07:00:00";"g";"camerun";"serbia";3;3;0;0
30;"group";2;"2022-11-28";"10:00:00";"h";"republica de corea";"ghana";2;3;0;0
31;"group";2;"2022-11-28";"13:00:00";"g";"brasil";"suiza";1;0;0;0
32;"group";2;"2022-11-28";"16:00:00";"h";"portugal";"uruguay";2;0;0;0
33;"group";3;"2022-11-29";"12:00:00";"a";"paises bajos";"catar";2;0;0;0
34;"group";3;"2022-11-29";"12:00:00";"a";"ecuador";"senegal";1;2;0;0
